"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25493","TC03 - Verify no result contains empty or invalid price","Web - Cheap Flights Search Results","2026-04-19","passed","2026-04-19","","","",""
"","4320","TC04 - Verify login modal displays correct description text","Mobile - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","16627","TC03 - Verify search works with travellers selection","Mobile - Cheap Flights Search","2026-04-19","passed","2026-04-19","","","",""
"","3720","TC05- Verify Sign In Modal shows Login options correctly","Mobile - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","4852","TC03 - Verify login modal opens with correct welcome message","Mobile - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","5165","TC03 - Verify login modal opens with correct welcome message","Web - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","1899","TC04 - Verify that updating a booking is successful","Create Booking API Tests","2026-04-19","passed","2026-04-19","","","",""
"","16948","TC01 - Verify user can search flights with valid inputs","Web - Cheap Flights Search Results","2026-04-19","passed","2026-04-19","","","",""
"","5877","TC06 - Verify Sign In modal does NOT show incorrect welcome text","Web - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","3648","TC06 - Verify that deleting the booking is successful","Create Booking API Tests","2026-04-19","passed","2026-04-19","","","",""
"","15400","TC01 - Verify user can search flights with valid inputs","Web - Cheap Flights Search","2026-04-19","passed","2026-04-19","","","",""
"","5195","TC04 - Verify login modal displays correct description text","Web - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","5083","TC02 - Verify Sign In button is displayed on home page","Web - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","1797","TC01 - Verify that creating a booking is successful","Create Booking API Tests","2026-04-19","passed","2026-04-19","","","",""
"","5176","TC01 - Verify Cheapflights logo is displayed on home page","Mobile - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","1887","TC03 - Verify GET booking returns 404 for invalid booking ID","Create Booking API Tests","2026-04-19","passed","2026-04-19","","","",""
"","5079","TC02 - Verify Sign In button is displayed on home page","Mobile - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","5205","TC01 - Verify Cheapflights logo is displayed on home page","Web - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","4575","TC05- Verify Sign In Modal shows Login options correctly","Web - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","1993","TC05 - Verify update booking fails with invalid token","Create Booking API Tests","2026-04-19","passed","2026-04-19","","","",""
"","18722","TC02 - Verify user can search flights with valid inputs","Mobile - Cheap Flights Search","2026-04-19","passed","2026-04-19","","","",""
"","5321","TC03 - Verify the error handling/messages without entering the departure and destination locations in the search","Web - Cheap Flights Search","2026-04-19","passed","2026-04-19","","","",""
"","15137","TC02 - Verify search works with travellers selection","Web - Cheap Flights Search","2026-04-19","passed","2026-04-19","","","",""
"","6393","TC01 - Verify the error handling/messages without entering the required inputs in the search","Mobile - Cheap Flights Search","2026-04-19","passed","2026-04-19","","","",""
"","1887","TC02 - Verify that retrieving a booking is successful","Create Booking API Tests","2026-04-19","passed","2026-04-19","","","",""
"","5429","TC07 - should close login modal properly","Web - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
"","19942","TC02 - Verify each result contains price and airline details","Web - Cheap Flights Search Results","2026-04-19","passed","2026-04-19","","","",""
"","4356","TC06 - Verify Sign In modal does NOT show incorrect welcome text","Mobile - Cheap flights Home Page","2026-04-19","passed","2026-04-19","","","",""
